FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted,,,
86374.js,0.6,0.035714286,0.2,,,
86416.js,0.846153846,0.068965517,0.307692308,,,
86436.js,0.555555556,0.036363636,0.222222222,,,
86441.js,0.5,0.04109589,0.111111111,,,
86484.js,0.52,0.053763441,0.178571429,,,
86507.js,0.6,0.032786885,0.2,,,
86511.js,0.8,0.072727273,0.4,,,
86550.js,0.636363636,0.092307692,0.196721311,,,
86715.js,0.333333333,0.033707865,0.125,,,
86735.js,0.75,0.107843137,0.215686275,,,
86737.js,0.636363636,0.048387097,0.25,,,
86832.js,0.62745098,0.068181818,0.103448276,,,
86969.js,0.53968254,0.053030303,0.101449275,,,
87389.js,0.823529412,0.011764706,0.029411765,,,
87524.js,0.88372093,0.102040816,0.212765957,,,
87741.js,0.6,0.034482759,0.181818182,,,
87950.js,0.777777778,0.035714286,0.2,,,
88276.js,0.777777778,0.017857143,0.1,,,
88338.js,0.846153846,0.033333333,0.142857143,,,
88368.js,0.571428571,0.097560976,0.168539326,,,
88546.js,0.708333333,0.04,0.103448276,,,
88669.js,0.6,0.05952381,0.128205128,,,
8919.js,1,0.055555556,0.5,,,
89559.js,0.333333333,0.019230769,0.166666667,,,
90125.js,1,0.046153846,0.15,,,
90423.js,0.72,0.157142857,0.55,,,
90957.js,0.857142857,0.086206897,0.322580645,,,
90997.js,0.98,0.042553191,0.081632653,,,
91037.js,0.793650794,0.207692308,0.385714286,,,
91446.js,0.666666667,0.094594595,0.269230769,,,
91677.js,0.62962963,0.139534884,0.387096774,,,
92320.js,0.428571429,0.027027027,0.285714286,,,
94154.js,0.571428571,0.085714286,0.260869565,,,
94320.js,0.739130435,0.08490566,0.346153846,,,
94926.js,0.78125,0.104166667,0.277777778,,,
94937.js,0.652173913,0.155844156,0.52173913,,,
95188.js,0.454545455,0.053571429,0.181818182,,,
95192.js,0.454545455,0.068965517,0.272727273,,,
95281.js,0.6,0.016949153,0.1,,,
95304.js,0.365853659,0.05785124,0.113207547,,,
95511.js,0.964285714,0.233766234,0.580645161,,,
95523.js,0.801886792,0.223140496,0.385714286,,,
95572.js,0.375,0.042253521,0.15,,,
95694.js,0.904761905,0.014705882,0.045454545,,,
95721.js,0.904761905,0.014705882,0.045454545,,,
95745.js,0.904761905,0.014705882,0.045454545,,,
9587.js,1,0.06122449,0.75,,,
95998.js,0.48,0.126582278,0.3125,,,
96010.js,0.603960396,0.108527132,0.166666667,,,
96123.js,0.941176471,0.16091954,0.4,,,
9627.js,1,0.058823529,1,,,
96273.js,0.534883721,0.083969466,0.166666667,,,
96286.js,0.769230769,0.042253521,0.15,,,
9633.js,0.75,0.02,0.25,,,
96349.js,0.733333333,0.042857143,0.142857143,,,
96412.js,0.722222222,0.097222222,0.304347826,,,
96460.js,1,0.08,0.8,,,
97015.js,1,0.019230769,0.166666667,,,
97018.js,0.75,0.153846154,0.3125,,,
97023.js,0.52173913,0.118421053,0.333333333,,,
97154.js,0.538461538,0.037037037,0.230769231,,,
97865.js,0.846153846,0.103448276,0.461538462,,,
97887.js,0.6,0.082474227,0.186046512,,,
97965.js,0.583333333,0.081967213,0.384615385,,,
97966.js,0.613636364,0.116504854,0.222222222,,,
97999.js,0.6,0.084745763,0.5,,,
9814.js,0.533333333,0.032258065,0.125,,,
98573.js,0.763157895,0.115789474,0.25,,,
98605.js,0.894736842,0.15625,0.555555556,,,
98660.js,0.75,0.138888889,0.588235294,,,
98893.js,0.891891892,0.093023256,0.205128205,,,
98898.js,0.816666667,0.094594595,0.191780822,,,
99092.js,0.65,0.064935065,0.208333333,,,
99152.js,0.571428571,0.078125,0.333333333,,,
99502.js,0.8,0.01754386,0.090909091,,,
9958.js,0.333333333,0.018181818,0.166666667,,,
