FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
48748.js,0.5309318732018989,0.5118958295600734,0.6744014203332525,0.7025668254494387
48769.js,0.54152543106181,0.50971876758215,0.5975573971486497,0.6544265237733367
48940.js,-1.0,-1.0,-1.0,-1.0
490.js,-1.0,-1.0,-1.0,-1.0
49416.js,-1.0,-1.0,-1.0,-1.0
4945.js,0.6266541367080762,0.5441893166051687,0.5432029762203684,0.6385711989831322
49662.js,0.5294787415946195,0.4967915605613605,0.6649307864291382,0.7656639446725211
49663.js,0.5473218337172187,0.514135078062342,0.6965451903188581,0.7447353027526654
49711.js,0.7126191873962184,0.5563004464183351,0.5653200914626352,0.724548441978195
49847.js,0.5006983075472923,0.467243867464484,0.5705597791103589,0.6332955795986899
4998.js,0.5209229880641388,0.4679136311423201,0.5606372908431021,0.7099925506851135
50055.js,0.6734976271167176,0.4637910163918602,0.41693153026172247,0.6282832349436454
50084.js,0.6051627237081759,0.5333684368010758,0.5836049453209674,0.6673214864937389
50130.js,0.5931929686986726,0.49520093222245726,0.4800189094326665,0.5824898712645196
50145.js,0.6346532107512148,0.4475793364075862,0.458881140135084,0.6809582652014946
50198.js,0.6899749072188657,0.5302783055642813,0.5458998702027746,0.7269629583590245
50341.js,0.5431542520420111,0.390394496495429,-1.0,0.632202701509068
50345.js,0.5619616349916836,0.40813213364273976,-1.0,-1.0
50370.js,0.5854286767301651,0.4292043146032094,0.46898542219756223,0.6639285266569064
50382.js,0.5233560390912068,0.4028741250225005,0.45192618041366384,-1.0
50402.js,0.5752159198878918,0.4746792922266694,0.4844076588253571,0.5898280856732449
50435.js,0.608685946484028,0.4719163668261598,0.5071288897125638,0.6656528178518915
50441.js,0.6057208267750185,0.4839308236120146,0.5295443714408133,0.669860708301495
50453.js,0.6079900368644822,0.48239114156588436,0.5208318902175527,0.6705506319484231
50524.js,0.4137552605561168,0.3669166549983938,0.5594978191628446,0.7258583814244266
50529.js,0.3862160813477717,0.33591401701605744,0.48312575363683574,0.6066758241067098
50552.js,0.3831670748930857,0.3462218680194802,0.5316742625738918,0.6446583712203042
50562.js,0.3773611773764385,0.3456753453930148,0.5739170359584849,0.6298366572977736
50570.js,0.407728559775151,0.332065097916916,0.491384911800656,0.6246109900481169
50600.js,0.6625986218715223,0.5379322915031035,0.5455759773482016,0.6724603733614459
50605.js,0.5450223121950311,0.43252129957175306,0.49167910711241425,0.6853599679691527
50635.js,0.617990718516509,0.49982756004740736,0.5515393046780074,0.7236197916181096
50646.js,0.5392473615660454,0.4712359555612545,0.5733936292058875,0.7245837023592675
50674.js,0.49657295481485086,0.4237896897630065,0.48695385833811394,0.6227085654194975
50693.js,0.5517456570873644,0.4826102991082711,0.5917139261607611,0.7327250922734165
50721.js,0.5966117438211492,0.4065558500387157,0.4604194080584422,0.729722204077862
50732.js,0.5176429781435545,0.4695655931376546,0.5464536206978421,0.66023263903334
50735.js,0.5259628359132466,0.3929863234628102,0.4511205568947482,0.6392106166746003
50818.js,0.4752796572236479,0.4379813407456458,0.5313683115155846,0.6195582431419406
50889.js,0.46012289680994617,0.4155784877156839,0.4734978128048849,0.554815746730852
51012.js,0.7398932083959143,0.5132150836841114,0.5193680847023946,0.7490976713846899
51042.js,0.6454936856419901,0.5042641981297619,0.5091666601960282,0.7083456624799839
51051.js,0.6762010270557979,0.48306676047447916,0.4904757187199935,0.7529787938910787
51070.js,0.5925594612784836,0.4761026500737135,0.5275942369293999,0.7468172500402314
51083.js,0.7001429938556184,0.5790505083570422,0.6113375648449904,0.7516454541039777
5111.js,0.42320736951515897,0.4,0.7863570994927848,0.6543303050815759
51151.js,0.5806313162675587,0.4857910124749309,0.5505050505050505,0.6890633673370792
51153.js,0.654928174327176,0.5410496323271555,0.6074365169659124,0.8044518336207519
51188.js,0.515807088761353,0.47074300860377655,0.5724603421840625,0.6818325569182101
5133.js,0.5800948854807711,0.47461867163254373,0.5302155193107522,0.7070892479470753
