FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
62703.js,0,0.2,0.5,0.5,,,
62758.js,0,0.875,0.946428571,0.928571429,,,
6279.js,0,2,0,0,,,
62860.js,0,0,0.75,0.75,,,
62914.js,0,0.571428571,0.714285714,0.714285714,,,
62961.js,0,1,0.5,0.5,,,
62996.js,0,0.272727273,0.545454545,0.454545455,,,
63048.js,0,0.6,0.8,0.8,,,
63067.js,0,0.428571429,0,0.142857143,,,
63121.js,0,0.375,0.5,0.375,,,
63155.js,0,0,0.25,0.25,,,
63163.js,0,0,0.75,0.75,,,
63189.js,0,1.5,0,0,,,
6329.js,0,2,0,0,,,
63301.js,0,2,0,0,,,
63316.js,0.25,1,0,0.25,,,
634.js,0,3,0,0,,,
63436.js,0,0.2,0.4,0.6,,,
63481.js,0.333333333,1,0,1,,,
63520.js,0,0.85,0.95,0.95,,,
63540.js,0,0.587962963,0.601851852,0.601851852,,,
63628.js,0,0.411764706,0.705882353,0.647058824,,,
63663.js,0,0.666666667,0.888888889,0.888888889,,,
63674.js,0,0.557939914,0.570815451,0.575107296,,,
63698.js,0,0.714285714,0.785714286,0.785714286,,,
6370.js,0,3,0,0,,,
63735.js,0,0.5,0.5,0.25,,,
63757.js,0,0.333333333,0.583333333,0.583333333,,,
63886.js,0,1,0.5,0.5,,,
63991.js,0,0.181818182,0.454545455,0.454545455,,,
64206.js,0,1.5,1,0,,,
6422.js,0,3,0,0,,,
64381.js,0,0.75,0,0.75,,,
64405.js,0,0,1,1,,,
64486.js,0,0.6,0.4,0.2,,,
64731.js,0,1.333333333,0,0.333333333,,,
6476.js,0,3,0,0,,,
64890.js,0,0.125,0.25,0.25,,,
64988.js,0,0.090909091,0.272727273,0.181818182,,,
6500.js,0,1.5,0,1,,,
65036.js,0.060606061,0.545454545,0.606060606,0.606060606,,,
65052.js,0,0.230769231,0.384615385,0.384615385,,,
65083.js,0,0.25,0.125,0,,,
65192.js,0,0,0.285714286,0.428571429,,,
65219.js,0,0.083333333,0.916666667,0,,,
65234.js,0,0.111111111,0.333333333,0.333333333,,,
65267.js,0,0.2,0.4,0.4,,,
65290.js,0,0.6,0.2,0,,,
65321.js,0,0.416666667,0.583333333,0.583333333,,,
