FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
86969.js,1.0,1.3333333333333333,0.8333333333333334,0.8333333333333334
87032.js,1.0,4.0,1.0,1.0
87083.js,1.0,4.0,1.0,1.0
87103.js,1.0,4.0,1.0,1.0
87319.js,1.0,4.0,1.0,1.0
87347.js,1.0,4.0,1.0,1.0
87349.js,1.0,4.0,1.0,1.0
87389.js,1.0,4.0,1.0,1.0
87599.js,1.0,4.0,1.0,1.0
87656.js,-1.0,-1.0,-1.0,-1.0
87741.js,1.0,3.0,1.0,1.0
87771.js,-1.0,-1.0,-1.0,-1.0
878.js,-1.0,-1.0,-1.0,-1.0
87836.js,-1.0,-1.0,-1.0,-1.0
87868.js,1.0,4.0,1.0,1.0
87950.js,1.0,2.0,0.5,0.5
88026.js,1.0,3.0,1.0,1.0
88048.js,-1.0,-1.0,-1.0,-1.0
88097.js,-1.0,-1.0,-1.0,-1.0
88158.js,-1.0,-1.0,-1.0,-1.0
88228.js,-1.0,-1.0,-1.0,-1.0
88245.js,1.0,4.0,1.0,1.0
88281.js,1.0,2.0,0.5,0.5
88292.js,-1.0,-1.0,-1.0,-1.0
88338.js,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
8835.js,-1.0,-1.0,-1.0,-1.0
88368.js,1.0,1.0909090909090908,0.8181818181818182,0.7272727272727273
88502.js,1.0,4.0,1.0,1.0
88562.js,1.0,1.0,0.625,0.625
88584.js,1.0,2.0,0.5,0.5
88669.js,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
88692.js,1.0,2.3333333333333335,1.0,1.0
88800.js,1.0,0.8571428571428571,-1.0,-1.0
88889.js,1.0,2.0,1.3333333333333333,1.0
88940.js,-1.0,-1.0,-1.0,-1.0
88949.js,-1.0,-1.0,-1.0,-1.0
89049.js,-1.0,-1.0,-1.0,-1.0
89104.js,-1.0,-1.0,-1.0,-1.0
89136.js,-1.0,-1.0,-1.0,-1.0
89236.js,-1.0,-1.0,-1.0,-1.0
89372.js,1.0,4.0,1.0,1.0
89411.js,-1.0,-1.0,-1.0,-1.0
89423.js,-1.0,-1.0,-1.0,-1.0
89559.js,1.0,4.0,1.0,1.0
89608.js,1.0,0.8571428571428571,0.2857142857142857,0.2857142857142857
89708.js,1.0,3.0,1.0,1.5
89812.js,-1.0,-1.0,-1.0,-1.0
89933.js,1.0,3.0,1.5,1.5
90007.js,-1.0,-1.0,-1.0,-1.0
9008.js,-1.0,-1.0,-1.0,-1.0
90247.js,-1.0,-1.0,-1.0,-1.0
90873.js,1.0,1.0,0.625,0.625
90997.js,1.0,3.0,1.0,1.0
9117.js,1.0,0.4,0.4,0.4
91212.js,-1.0,-1.0,-1.0,-1.0
91304.js,-1.0,-1.0,-1.0,-1.0
91307.js,-1.0,-1.0,-1.0,-1.0
91308.js,-1.0,-1.0,-1.0,-1.0
91312.js,1.0,0.75,0.25,0.375
91329.js,-1.0,-1.0,-1.0,-1.0
91373.js,-1.0,-1.0,-1.0,-1.0
91394.js,1.0,1.75,0.75,0.75
91446.js,1.0,2.0,1.0,1.0
91599.js,-1.0,-1.0,-1.0,-1.0
91612.js,-1.0,-1.0,-1.0,-1.0
91677.js,1.0,1.2,0.6,0.4
91734.js,1.0,0.5454545454545454,0.18181818181818182,0.18181818181818182
91748.js,1.0,1.5,0.75,0.5
91874.js,-1.0,-1.0,-1.0,-1.0
91909.js,-1.0,-1.0,-1.0,-1.0
92077.js,1.0,1.8,1.0,0.8
9218.js,-1.0,-1.0,-1.0,-1.0
92546.js,1.0,1.1428571428571428,0.42857142857142855,0.42857142857142855
92794.js,1.0,1.75,0.75,0.75
93065.js,-1.0,-1.0,-1.0,-1.0
93155.js,-1.0,-1.0,-1.0,-1.0
93183.js,-1.0,-1.0,-1.0,-1.0
93312.js,-1.0,-1.0,-1.0,-1.0
93316.js,-1.0,-1.0,-1.0,-1.0
93366.js,-1.0,-1.0,-1.0,-1.0
93449.js,1.0,4.0,1.0,1.0
9348.js,-1.0,-1.0,-1.0,-1.0
9375.js,-1.0,-1.0,-1.0,-1.0
93824.js,1.0,0.14634146341463414,0.07317073170731707,0.07317073170731707
93844.js,1.0,1.5,0.75,0.5
93979.js,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
94051.js,1.0,0.1111111111111111,0.05555555555555555,0.05555555555555555
94210.js,1.0,4.0,1.0,1.0
94270.js,1.0,3.0,1.0,1.0
94309.js,1.0,0.6,0.2,0.2
94320.js,1.0,3.0,1.0,1.0
94449.js,1.0,1.3333333333333333,0.8333333333333334,0.8333333333333334
94637.js,1.0,4.0,1.0,1.0
94660.js,-1.0,-1.0,-1.0,-1.0
94680.js,-1.0,-1.0,-1.0,-1.0
94705.js,1.0,4.0,1.0,1.0
94749.js,1.0,3.0,1.0,1.0
94934.js,1.0,2.0,0.6666666666666666,0.6666666666666666
94937.js,1.0,0.8571428571428571,0.42857142857142855,0.2857142857142857
95059.js,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
95121.js,1.0,3.0,1.0,1.0
95177.js,1.0,3.0,1.0,1.0
95188.js,1.0,3.0,1.0,1.0
95239.js,1.0,3.0,1.0,1.0
95304.js,1.0,3.0,1.0,1.0
95349.js,1.0,4.0,1.0,1.0
95354.js,1.0,4.0,1.0,1.0
95511.js,1.0,0.7058823529411765,0.5294117647058824,0.5294117647058824
95745.js,1.0,3.0,1.0,1.0
95768.js,1.0,3.0,1.0,1.0
96010.js,1.0,1.6666666666666667,1.0,1.0
96163.js,-1.0,-1.0,-1.0,-1.0
96286.js,1.0,1.2,0.4,0.6
96412.js,1.0,1.0,0.5,0.3333333333333333
96460.js,1.0,1.6,0.6,0.8
96609.js,1.0,0.25,0.0625,0.0625
9680.js,-1.0,-1.0,-1.0,-1.0
96866.js,1.0,4.0,1.0,1.0
96992.js,1.0,1.75,0.75,0.75
97023.js,1.0,1.2857142857142858,0.7142857142857143,0.7142857142857143
971.js,1.0,2.0,0.5,0.5
97154.js,1.0,3.0,0.5,1.0
97160.js,1.0,2.3333333333333335,0.6666666666666666,0.6666666666666666
97327.js,-1.0,-1.0,-1.0,-1.0
97352.js,-1.0,-1.0,-1.0,-1.0
97548.js,-1.0,-1.0,-1.0,-1.0
