FileName,jsjiami_unweighted_old,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
58897.js,0.45612273,0.409090909,0.53293871,0.630812281,,,
59029.js,0.406403531,0.392006265,0.561485812,0.5183357,,,
5905.js,0.642967596,0.480180346,0.51966696,0.748126947,,,
59093.js,0.430795243,0.428048728,0.478869212,0.538236374,,,
59099.js,0.464798317,0.44617006,0.586478154,0.551446795,,,
59106.js,0.60919464,0.557668806,0.595466041,0.687923316,,,
59296.js,0.571170958,0.500849913,0.546301901,0.663720947,,,
59309.js,0.537132654,0.484516354,0.619153929,0.807922376,,,
59355.js,1,1,1,1,,,
59383.js,0.456383298,0.456383298,0.630072012,0.658088754,,,
59534.js,0.152943823,0.139686059,0.816496581,0.816496581,,,
59540.js,0.353835579,0.337520921,0.825500826,0.40730654,,,
59559.js,0.144337567,0.150329206,0.816496581,0.816496581,,,
59875.js,0.328165062,0.284088826,0.66391373,0.955533086,,,
6010.js,0.450680905,0.428801781,0.556108498,0.603067167,,,
60128.js,1,0.691564075,0.691564075,1,,,
60393.js,0.440519269,0.423518165,0.711091834,0.648672467,,,
60820.js,0.404063471,0.36421789,0.555959449,0.642261629,,,
61022.js,0.5644473,0.43643578,0.412566512,0.770092091,,,
61201.js,0.535479184,0.493224447,0.525276345,0.624945635,,,
61254.js,0.755742182,0.755742182,0.755742182,0.755742182,,,
61443.js,0.529450661,0.415004851,0.495237987,0.690053558,,,
61535.js,0.267945651,0.26789986,0.455420034,0.770053541,,,
61596.js,0.574376772,0.491575567,0.553557661,0.677596695,,,
61603.js,0.497938307,0.463160746,0.593390829,0.638197647,,,
61618.js,0.163956459,0.166205624,1,0.845154255,,,
61642.js,0.326774738,0.308588707,0.577615535,0.577615535,,,
61757.js,0.396134331,0.39158614,0.526219,0.56348858,,,
61902.js,0.422054906,0.328008435,0.367256304,0.538638635,,,
61999.js,0.518581979,0.471686857,0.62356947,0.683318142,,,
62021.js,1,0.6770032,0.288675135,0.288675135,,,
62048.js,0.440659428,0.412852917,0.621059003,0.682288239,,,
62277.js,0.611216143,0.444569895,0.497547336,0.816625234,,,
62461.js,0.336205574,0.298060298,0.353553391,0.353553391,,,
62479.js,0.519478208,0.444740364,0.501991867,0.633405048,,,
62519.js,0.473356515,0.453438852,0.708783584,0.68412805,,,
62758.js,0.506629332,0.482356575,0.573517787,0.59980278,,,
6279.js,0.663772596,0.457346354,0.535382537,0.891427427,,,
62802.js,0.432451925,0.350187759,0.462193767,0.752824502,,,
62914.js,0.635502218,0.519613873,0.545815471,0.690925125,,,
63048.js,0.725220029,0.339439618,0.268449482,0.18970956,,,
63155.js,0.445271793,0.383443096,0.528312098,0.627737249,,,
63225.js,0.35364436,0.328463264,0.561252759,0.732469219,,,
63230.js,0.464221031,0.382514296,0.506045399,0.716928179,,,
63301.js,0.49936207,0.355662377,0.432543999,0.73233885,,,
634.js,0.431457464,0.326043196,0.490352189,0.671286386,,,
63457.js,0.3191686,0.302407368,0.538270796,0.553225608,,,
