FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
49680.js,0.0,3.0,0.0,0.0
49711.js,0.0,3.0,0.0,0.0
50055.js,0.0,2.0,0.0,0.0
50084.js,0.0,2.0,0.0,0.0
50145.js,0.0,2.0,0.0,0.0
50382.js,0.5,1.5,1.0,1.0
50435.js,0.0,2.0,0.0,0.0
50453.js,0.0,2.0,0.0,0.0
50529.js,0.0,3.0,0.0,0.0
50562.js,0.0,3.0,0.0,0.0
50570.js,0.0,3.0,0.0,0.0
50605.js,0.0,2.0,0.0,0.0
50674.js,0.0,2.0,0.0,0.0
50721.js,0.0,2.0,0.0,0.0
50732.js,0.0,2.0,0.0,0.0
51042.js,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857
51051.js,0.0,0.75,0.25,0.25
51153.js,0.0,0.16666666666666666,0.6666666666666666,0.6666666666666666
51297.js,0.0,0.4,0.4,0.6
51515.js,0.0,0.6,0.2,0.2
51803.js,0.0,3.0,0.0,0.0
51903.js,0.0,3.0,0.0,0.0
5191.js,0.0,2.0,0.0,0.5
51915.js,0.0,3.0,0.0,0.0
51925.js,0.0,3.0,0.0,0.0
51930.js,0.0,3.0,0.0,0.0
52115.js,0.0,3.0,0.0,0.0
5217.js,0.0,1.0,0.0,0.0
52191.js,0.0,3.0,0.0,0.0
52286.js,0.0,3.0,0.0,0.0
52340.js,0.0,3.0,0.0,0.0
524.js,-1.0,-1.0,-1.0,-1.0
52423.js,0.0,3.0,0.0,0.0
5246.js,0.0,0.3,0.7,0.6
52707.js,0.0,0.0,0.7142857142857143,0.5714285714285714
52733.js,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
52883.js,0.0,0.1,0.5,0.5
52943.js,0.0,0.6,0.4,0.2
53065.js,0.0,3.0,0.0,0.0
53075.js,0.0,0.25,0.5833333333333334,0.5833333333333334
53082.js,-1.0,-1.0,-1.0,-1.0
53399.js,0.0,0.8,0.0,0.2
53620.js,0.0,0.4,0.4,0.6
53628.js,0.0,0.0,0.2857142857142857,0.35714285714285715
53659.js,0.0,0.1,0.6,0.6
53667.js,0.0,0.38461538461538464,0.6923076923076923,0.6923076923076923
53673.js,0.0,0.4,0.4,0.4
53701.js,0.0,0.0,0.7142857142857143,0.5714285714285714
53741.js,0.0,0.0,0.4444444444444444,0.4444444444444444
53868.js,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693
5396.js,0.0,0.043478260869565216,0.13043478260869565,0.13043478260869565
53980.js,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556
54129.js,0.0,0.5625,0.875,0.875
54354.js,0.0,0.1,0.5,0.5
54409.js,0.0,0.38461538461538464,0.6923076923076923,0.6923076923076923
54693.js,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
54815.js,0.0,0.6,0.4,0.4
54985.js,0.0,0.1,0.5,0.5
55287.js,0.0,0.1,0.5,0.5
55447.js,0.0,0.46153846153846156,0.5641025641025641,0.5897435897435898
55460.js,0.0,0.0,0.5,0.5
55478.js,0.0,0.1,0.3,0.3
55560.js,0.0,0.18181818181818182,0.5454545454545454,0.5454545454545454
55570.js,0.0,0.0,0.4444444444444444,0.4444444444444444
5565.js,0.0,1.0,0.0,0.0
55685.js,0.0,0.5609756097560976,0.6097560975609756,0.6097560975609756
55856.js,0.0,0.1,0.4,0.3
55876.js,0.0,0.3,0.8,0.8
55879.js,0.0,0.125,0.625,0.625
56064.js,0.0,0.08333333333333333,0.5,0.4166666666666667
56095.js,0.0,0.0,0.4,0.4
56372.js,0.0,0.16666666666666666,0.5,0.6666666666666666
56410.js,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453
56547.js,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111
56601.js,0.0,0.0,0.5,0.5
56923.js,0.0,0.25,0.45,0.45
57025.js,0.0,1.5,0.0,0.5
57145.js,-1.0,-1.0,-1.0,-1.0
57223.js,0.0,0.46153846153846156,0.8461538461538461,0.7692307692307693
57320.js,0.0,3.0,0.0,0.0
57339.js,0.0,0.0,0.0,0.0
57449.js,0.0,1.0,0.5,0.5
57481.js,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334
57567.js,0.0,0.0,1.0,1.0
5758.js,0.0,0.25,0.75,0.75
57583.js,0.0,0.6666666666666666,0.8518518518518519,0.8148148148148148
57591.js,0.0,0.75,0.25,0.0
57617.js,0.0,1.3333333333333333,0.0,0.3333333333333333
57674.js,0.0,3.0,1.0,0.0
57698.js,0.0,0.5,0.16666666666666666,0.16666666666666666
57973.js,-1.0,-1.0,-1.0,-1.0
58032.js,-1.0,-1.0,-1.0,-1.0
58229.js,0.0,0.2857142857142857,0.0,0.0
58412.js,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
58550.js,0.0,0.1,0.1,0.2
58570.js,0.0,1.0,0.3333333333333333,0.3333333333333333
58685.js,0.0,0.4888888888888889,0.5333333333333333,0.5333333333333333
58800.js,0.0,0.2,0.6,0.5
58819.js,0.0,4.0,0.0,0.0
58829.js,0.0,1.0,0.0,0.3333333333333333
58867.js,0.0,0.803921568627451,0.8627450980392157,0.8823529411764706
58897.js,0.0,0.6,0.9,0.9
59029.js,0.0,0.2,0.6,0.4
5905.js,0.0,3.0,0.0,0.0
