FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_recover_unweighted
31615.js,-1,-1,-1,-1,-1
3174.js,0.225147161,0.171854351,0.23570226,0.114783407,0.70064905
31854.js,-1,-1,-1,-1,-1
32013.js,-1,-1,-1,-1,-1
32116.js,-1,-1,-1,-1,-1
32164.js,-1,-1,-1,-1,-1
32188.js,-1,-1,-1,-1,-1
32279.js,-1,-1,-1,-1,-1
32369.js,-1,-1,-1,-1,-1
32515.js,-1,-1,-1,-1,-1
32551.js,-1,-1,-1,-1,-1
32556.js,-1,-1,-1,-1,-1
32626.js,-1,-1,-1,-1,-1
32745.js,-1,-1,-1,-1,-1
32747.js,-1,-1,-1,-1,-1
3284.js,0.216168851,0.180701581,0.228217732,0.108347268,0.353553391
32843.js,-1,-1,-1,-1,-1
32846.js,-1,-1,-1,-1,-1
32896.js,-1,-1,-1,-1,-1
33023.js,-1,-1,-1,-1,-1
33031.js,-1,-1,-1,-1,-1
33046.js,-1,-1,-1,-1,-1
33261.js,-1,-1,-1,-1,-1
33341.js,-1,-1,-1,-1,-1
