improve,nice,recover_nice,name,,,
0,0.038461538,0,62758.js,,,
0,0.071428571,0.166666667,6279.js,,,
0,0,0,62802.js,,,
-1,-1,-1,62914.js,,,
0,0,0,63048.js,,,
0,0,0,63155.js,,,
0,0.058823529,0.076923077,63225.js,,,
0,0,0,63230.js,,,
0,0,0,63301.js,,,
0,0.04,0,634.js,,,
-1,-1,-1,63457.js,,,
0,0.025641026,0.027777778,63628.js,,,
0,0.042755344,0.042959427,63674.js,,,
0,0.047619048,0,6370.js,,,
0,0,0,63757.js,,,
0,0,0,63819.js,,,
0,0,0,64206.js,,,
0,0,0,6422.js,,,
0,0,0,64731.js,,,
0,0.049180328,0.054545455,6476.js,,,
0,0.098418278,0,6500.js,,,
0,0.024390244,0,65036.js,,,
0,0.066666667,0.046511628,65052.js,,,
0,0,0,65219.js,,,
0,0.057142857,0.066666667,65267.js,,,
0,0.090909091,0.107142857,65321.js,,,
0,0.022727273,0.025641026,65459.js,,,
-1,-1,-1,65527.js,,,
0,0.032,0.033333333,65727.js,,,
0,0.048484848,0.05,6586.js,,,
-1,-1,-1,65944.js,,,
0,0.086956522,0.09009009,66106.js,,,
0,0.049019608,0.050505051,66225.js,,,
0,0.020979021,0.021428571,66323.js,,,
0,0.026315789,0.02739726,66363.js,,,
0,0.023809524,0.025316456,66365.js,,,
0,0,0,66377.js,,,
-1,-1,-1,66386.js,,,
0,0,0,66394.js,,,
0,0.06097561,0.065789474,66399.js,,,
0.007142857,0.02,0.020408163,66502.js,,,
-1,-1,-1,66680.js,,,
-1,-1,-1,6669.js,,,
-1,-1,-1,66716.js,,,
-1,-1,-1,66856.js,,,
0,0,0,66877.js,,,
0,0,0,66945.js,,,
0,0,0,67353.js,,,
0,0,0,67476.js,,,
0,0,0,67544.js,,,
-1,-1,-1,67662.js,,,
0,0,0,67717.js,,,
0,0.032258065,0.043478261,67724.js,,,
0,0,0,67737.js,,,
-1,-1,-1,67871.js,,,
0,0,0,67918.js,,,
0,0,0,67961.js,,,
0,0,0,67981.js,,,
0,0,0,68040.js,,,
0,0,0,6806.js,,,
-1,-1,-1,68119.js,,,
-1,-1,-1,68137.js,,,
-1,-1,-1,68181.js,,,
-1,-1,-1,68198.js,,,
-1,-1,-1,68538.js,,,
-1,-1,-1,68564.js,,,
-1,-1,-1,68706.js,,,
-1,-1,-1,68773.js,,,
0,0,0,68856.js,,,
0,0,0,69198.js,,,
0,0,0,69216.js,,,
0,0,0,69246.js,,,
-1,-1,-1,6944.js,,,
-1,-1,-1,69469.js,,,
0,0,0,69472.js,,,
0,0,0,69578.js,,,
0,0,0,69604.js,,,
0,0,0,69635.js,,,
0,0.058823529,0.125,69705.js,,,
-1,-1,-1,6973.js,,,
-1,-1,-1,69826.js,,,
