FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted,,,
59029.js,1,0.142857143,0.266666667,0.181818182,,,
5905.js,0.441176471,0.050505051,0.057471264,0.089285714,,,
59093.js,0.565217391,0.1,0.148148148,0.166666667,,,
59099.js,0.84375,0.239130435,0.333333333,0.275,,,
59106.js,0.75,0.19858156,0.207407407,0.261682243,,,
59296.js,0.833333333,0.115384615,0.125,0.163636364,,,
59309.js,0.8,0.314285714,0.379310345,0.5,,,
59355.js,1,1,1,1,,,
59383.js,0.818181818,0.192307692,0.25,0.238095238,,,
59534.js,1,0.066666667,0.5,0.5,,,
59540.js,0.6,0.208333333,0.454545455,0.125,,,
59559.js,1,0.066666667,0.5,0.5,,,
59875.js,0.272727273,0.076923077,0.153846154,0.153846154,,,
6010.js,0.3125,0.03030303,0.047619048,0.052631579,,,
60128.js,0,0.5,0.5,0.5,,,
60326.js,0.5,0.105263158,0,0,,,
60393.js,1,0.2,0.384615385,0.277777778,,,
60820.js,0.714285714,0.166666667,0.294117647,0.3125,,,
61022.js,0.740740741,0.307692308,0.41025641,0.516129032,,,
61201.js,0.652173913,0.09375,0.103448276,0.157894737,,,
61254.js,0.666666667,1,1,1,,,
61443.js,0.8,0.25,0.333333333,0.333333333,,,
61535.js,1,0.117647059,0.181818182,0.5,,,
61596.js,0.846153846,0.21875,0.269230769,0.28,,,
61603.js,0.875,0.3,0.375,0.5,,,
61618.js,1,0.133333333,1,0.666666667,,,
61642.js,1,0.176470588,0.75,0.75,,,
6175.js,0.847222222,0.033783784,0.036764706,0,,,
61757.js,1,0.142857143,0.2,0.2,,,
61902.js,1,0.15,0.214285714,0.428571429,,,
61999.js,0.941176471,0.25,0.4,0.444444444,,,
62021.js,1,1,0,0,,,
62048.js,1,0.238095238,0.625,0.625,,,
62277.js,0.333333333,0.044117647,0.053571429,0.09375,,,
62461.js,1,0.157894737,0.2,0.2,,,
62479.js,0.894736842,0.315789474,0.375,0.428571429,,,
62519.js,1,0.272727273,0.666666667,0.375,,,
62758.js,0.818181818,0.166666667,0.25,0.333333333,,,
6279.js,0.027027027,0.023809524,0.033333333,0.2,,,
62802.js,1,0.416666667,0.909090909,0.909090909,,,
62914.js,0.685714286,0.172972973,0.186046512,0.296296296,,,
63048.js,0.5,0.048,0.222222222,0.222222222,,,
63155.js,1,0.230769231,0.461538462,0.461538462,,,
63225.js,0.777777778,0.260869565,0.352941176,0.6,,,
63230.js,1,0.157894737,0.230769231,0.230769231,,,
63301.js,0.4375,0.078431373,0.102564103,0.210526316,,,
634.js,0.5,0.033333333,0.055555556,0.1,,,
63457.js,1,0.181818182,0.444444444,0.5,,,
63628.js,0.72,0.20754717,0.234042553,0.333333333,,,
63674.js,0.593406593,0.082314588,0.082719083,0.194230769,,,
6370.js,0.181818182,0.035714286,0.0625,0.058823529,,,
63757.js,1,0.257142857,0.310344828,0.428571429,,,
63819.js,1,1,1,1,,,
64206.js,0.25,0.074074074,0,0.25,,,
6422.js,0.181818182,0.029411765,0.045454545,0.066666667,,,
64731.js,0.368421053,0.176470588,0.214285714,0.206896552,,,
6476.js,0.357142857,0.025,0.029411765,0.037037037,,,
6500.js,0.594827586,0.013147718,0,0,,,
65036.js,0.730769231,0.29787234,0.411764706,0.388888889,,,
65052.js,0.692307692,0.155172414,0.173076923,0.264705882,,,
65219.js,1,0.302325581,0.351351351,0.541666667,,,
65267.js,0.722222222,0.155555556,0.179487179,0.24137931,,,
65321.js,0.722222222,0.139534884,0.162162162,0.206896552,,,
65459.js,0.814814815,0.236363636,0.30952381,0.317073171,,,
65727.js,0.278688525,0.037656904,0.039647577,0.077586207,,,
6586.js,0.637254902,0.048387097,0.050847458,0.070175439,,,
66106.js,0.5,0.082051282,0.087912088,0.125984252,,,
66225.js,0.552631579,0.092198582,0.096296296,0.136842105,,,
66323.js,0.565217391,0.122340426,0.126373626,0.15862069,,,
66363.js,0.48,0.094736842,0.101123596,0.121621622,,,
66365.js,0.652173913,0.024767802,0.025723473,0.074074074,,,
66377.js,0.75,0.166666667,0.208333333,0.208333333,,,
66394.js,0.857142857,0.176470588,0.214285714,0.260869565,,,
66399.js,0.488372093,0.078125,0.086206897,0.151515152,,,
66502.js,0.388297872,0.015151515,0.015350877,0.035,,,
66877.js,1,0.0625,0.333333333,0.333333333,,,
66945.js,1,0.058823529,0.25,0.25,,,
67353.js,1,0.037037037,0.071428571,0.071428571,,,
67476.js,1,0.115384615,0.230769231,0.15,,,
67544.js,1,0.054054054,0.064516129,0.083333333,,,
67717.js,0.8,0.083333333,0.166666667,0.166666667,,,
67724.js,0.666666667,0.037037037,0.048780488,0.1,,,
67737.js,0.705882353,0.111111111,0.142857143,0.230769231,,,
67918.js,0.666666667,0.15,0.428571429,0.428571429,,,
67961.js,1,0.217391304,0.294117647,0.294117647,,,
67981.js,1,0.105263158,0.285714286,0.666666667,,,
68040.js,0.75,0.069767442,0.1,0.2,,,
6806.js,0.875,0.264705882,0.321428571,0.5,,,
68706.js,0.777777778,0.045454545,0.0625,0.095238095,,,
68856.js,1,0.166666667,0.222222222,0,,,
69198.js,1,0.192307692,0.384615385,0.384615385,,,
69216.js,1,0.071428571,1,1,,,
69246.js,1,0.066666667,0.5,0.333333333,,,
69472.js,1,0.066666667,0.5,0.5,,,
69578.js,0.666666667,0.104166667,0.142857143,0.217391304,,,
69604.js,1,0.0625,0.333333333,0.333333333,,,
69635.js,1,0.125,0.166666667,0.166666667,,,
69705.js,0.428571429,0.043478261,0.1,0.111111111,,,
69826.js,0.794871795,0.089552239,0.111111111,0.12244898,,,
70353.js,1,0.0625,0.333333333,0.333333333,,,
70364.js,1,0.055555556,0.2,0.2,,,
70748.js,0.538461538,0.121212121,0.2,0.266666667,,,
70775.js,1,0.047619048,0.125,0.125,,,
70848.js,1,0.12,0.25,0.25,,,
71032.js,1,0.045454545,0.111111111,0.111111111,,,
71077.js,1,0.0625,0.333333333,0.333333333,,,
7167.js,0.461538462,0.075471698,0.1,0.148148148,,,
71688.js,0.563636364,0.112781955,0.125,0.1875,,,
71716.js,1,0.02478551,0.024928092,0.051792829,,,
71738.js,1,0.125,0.666666667,0.5,,,
71744.js,1,0.066666667,0.5,0.5,,,
71750.js,1,0.066666667,0.5,0.5,,,
72068.js,0.666666667,0.047619048,0.125,0.2,,,
72259.js,0.634146341,0.086419753,0.093333333,0.122807018,,,
72273.js,0.550458716,0.106557377,0.108786611,0.1625,,,
72470.js,0.638297872,0.091954023,0.098765432,0.114285714,,,
72581.js,0.771428571,0.131578947,0.142857143,0.196078431,,,
72777.js,1,0.058823529,0.25,0.333333333,,,
73103.js,0.8,0.166666667,0.260869565,0.272727273,,,
73109.js,0.695652174,0.263157895,0.3125,0.4,,,
73132.js,1,0.285714286,0.75,0.75,,,
73187.js,0.846153846,0.136363636,0.169811321,0.3,,,
73243.js,0.909090909,0.086206897,0.096153846,0.15625,,,
73244.js,0.9,0.089285714,0.11627907,0.161290323,,,
7325.js,0.769230769,0.279069767,0.324324324,0.352941176,,,
73300.js,1,0.058823529,0.25,0.25,,,
73432.js,1,0.012247839,0.012345679,0.021223471,,,
73442.js,0.625,0.075471698,0.1,0.181818182,,,
7745.js,0.88,0.238095238,0.277777778,0.357142857,,,
7775.js,0.565217391,0.042857143,0.045454545,0.068181818,,,
78018.js,1,0.321428571,0.409090909,0.409090909,,,
78361.js,1,0.321428571,0.409090909,0.409090909,,,
78393.js,1,0.321428571,0.6,0.409090909,,,
78604.js,1,0.321428571,0.6,0.6,,,
78626.js,1,0.321428571,0.6,0.409090909,,,
78937.js,1,0.321428571,0.6,0.6,,,
79119.js,1,0.321428571,0.409090909,0.6,,,
79406.js,1,0.321428571,0.409090909,0.409090909,,,
79496.js,1,0.321428571,0.409090909,0.409090909,,,
79644.js,0.588235294,0.027027027,0.04,0.05,,,
79783.js,0.759259259,0.1625,0.194029851,0.188405797,,,
79806.js,0.675,0.159090909,0.170731707,0.259259259,,,
79827.js,1,0.212121212,0.35,0.583333333,,,
80041.js,0.666666667,0.1,0.285714286,0.285714286,,,
80045.js,0.713105077,0.087096774,0.08722664,0.172991621,,,
80055.js,0.565656566,0.059055118,0.060483871,0.092592593,,,
